state,day,temp,spec.hum,rh,dew_point,atmos_pres,climate
AK,1,-9.397471241035198,0.001954944092708276,77.48741708869483,-12.962395550471918,1002.5789239265738,0.9511543075745986
AK,2,-10.080154228211166,0.0018879431705297698,78.33177708592054,-13.312200085743546,1005.7290544012662,0.9669707629898715
AK,3,-10.250733093845936,0.0018850663464016865,78.4283902370722,-13.163154893550493,1008.8764299964978,0.9669707629898715
AK,4,-10.284805851281773,0.0018348031689234302,78.11878235537222,-13.509567719936808,1009.7381344998553,0.9669707629898715
AK,5,-11.128866775699683,0.0017018230943651458,76.60502667187778,-14.687355879405809,1009.7196299880235,0.9669707629898715
AK,6,-11.487954191760366,0.0016965717972772193,76.18002042610222,-15.206995030701181,1010.3062893191201,0.9669707629898715
AK,7,-11.905478147345955,0.0017052789880675156,76.21655130100724,-15.158784350843973,1009.9955913219678,0.9669707629898715
AK,8,-11.407827979693709,0.0017073797960056787,76.25303365731537,-14.774640854152869,1010.0247649666599,0.9669707629898715
AK,9,-11.473405661344259,0.001655806000855847,75.88534955593983,-14.999061381382399,1009.7967062704291,0.9669707629898715
AK,10,-11.882555632066081,0.0016115104210988572,75.68863911239434,-15.549863320367452,1010.8917821881581,0.9669707629898715
AK,11,-12.485165554974701,0.0015951522080206353,75.81494522278332,-15.828328505624384,1010.8304765707637,0.9669707629898715
AK,12,-12.252269429998824,0.001681140223366785,76.12638214655415,-15.317787782324453,1010.1333233000386,0.9669707629898715
AK,13,-10.964034767432526,0.001834465844790597,76.93991403998292,-14.250233107666514,1010.2109606205142,0.9669707629898715
AK,14,-9.759095265734484,0.0019650142149645403,77.38081046257211,-13.174992916417041,1009.3975834578937,0.9669707629898715
AK,15,-9.892248612496509,0.0019519474464674306,77.77131119205448,-13.233231851103792,1010.2355854849601,0.9669707629898715
AK,16,-10.426203800372459,0.001890711544062712,77.46084557493404,-13.8434641630773,1007.7330529374309,0.9669707629898715
AK,17,-10.55430879854074,0.0019031192312933642,76.26916535531743,-13.842586030499822,1005.2389974804278,0.9669707629898715
AK,18,-10.714335153663386,0.0019226503080934925,77.41118485421185,-13.632903854420594,1006.4398343818945,0.9669707629898715
AK,19,-10.492400223150392,0.0018977013486644759,77.45517685198382,-13.670722931117481,1007.3277689447933,0.9669707629898715
AK,20,-9.915000325838637,0.001901860761132383,77.55350061883692,-13.232021262297,1008.3281136742195,0.9669707629898715
AK,21,-9.837700978987174,0.0018934514194368758,77.48183391134118,-13.188436947914651,1006.6710240072163,0.9669707629898715
AK,22,-10.171390506294792,0.0018651636636014914,76.89672823298964,-13.544714788895005,1007.1452246765225,0.9669707629898715
AK,23,-10.600859425964922,0.0018483981556503323,76.41497936130568,-14.095937308481863,1007.5359116280001,0.9669707629898715
AK,24,-11.156581237685796,0.0018181954164274022,75.57934511195363,-14.475363309688507,1007.3441362778751,0.9669707629898715
AK,25,-11.01226863943676,0.0018632181526470873,75.51036302885365,-14.384117988117756,1007.2030568874882,0.9669707629898715
AK,26,-11.142781317975153,0.001834311697424765,74.99998547390646,-14.598637632949112,1008.1358175243859,0.9669707629898715
AK,27,-11.365844312687537,0.0017824889488286253,75.03302272563641,-14.649956975765663,1010.6984366464429,0.9669707629898715
AK,28,-11.427470425352087,0.0017505566538340788,75.88288504204091,-14.746568216316813,1010.5704154248838,0.9669707629898715
AK,29,-10.918990132121639,0.0018052363117121413,76.77948259260076,-14.180949433455014,1006.9071471556863,0.9669707629898715
AK,30,-10.68177920656402,0.0018210980090866353,77.32401901308116,-14.04965820411906,1008.6166656263786,0.9669707629898715
AK,31,-11.047990587390448,0.0017676830127990727,76.62335712591894,-14.42417212924487,1011.2595087446568,0.9669707629898715
AK,32,-11.4099058418224,0.0017190302785857932,76.54495414792919,-14.684991355399509,1013.1601694143418,0.9669707629898715
AK,33,-10.897574614579538,0.0017535131599243736,76.07643722849319,-14.412043826281392,1014.0505253126797,0.9669707629898715
AK,34,-10.826986280911283,0.0017569772279721807,75.90107276025527,-14.33110201991328,1012.9299295228702,0.9669707629898715
AK,35,-10.096732333139013,0.00185096954513713,76.71871510552887,-13.654269920743259,1011.3874592369632,0.9669707629898715
AK,36,-9.284058387159277,0.0019254228707240044,76.47015231047715,-12.83133969350936,1010.5668073970049,0.9669707629898715
